nome,latitude,longitude
Rondônia,-10.83,-63.34
Acre,-8.77,-70.55
Amazonas,-3.47,-65.1
Roraima,1.99,-61.33
Pará,-3.79,-52.48
Amapá,1.41,-51.77
Tocantins,-9.46,-48.26
Maranhão,-5.42,-45.44
Piauí,-6.6,-42.28
Ceará,-5.2,-39.53
Rio Grande do Norte,-5.81,-36.59
Paraíba,-7.28,-36.72
Pernambuco,-8.38,-37.86
Alagoas,-9.62,-36.82
Sergipe,-10.57,-37.45
Bahia,-13.29,-41.71
Minas Gerais,-18.1,-44.38
Espírito Santo,-19.19,-40.34
Rio de Janeiro,-22.25,-42.66
São Paulo,-22.19,-48.79
Paraná,-24.89,-51.55
Santa Catarina,-27.45,-50.95
Rio Grande do Sul,-30.17,-53.5
Mato Grosso do Sul,-20.51,-54.54
Mato Grosso,-12.64,-55.42
Goiás,-15.98,-49.86
Distrito Federal,-15.83,-47.86
